command,execution_time,success
-workload=tpcxai1 -query_template=template5 -verbose=4,11.845400,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.937600,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.331300,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.427000,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.154600,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.610300,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.398700,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.552900,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.347000,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.203700,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.372700,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.255500,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.906600,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.361600,True
-workload=tpcxai1 -query_template=template5 -verbose=4,5.352640,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.318600,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.456900,True
-workload=tpcxai1 -query_template=template5 -verbose=4,11.325100,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.016155,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.023874,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.015868,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.017566,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.019742,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.025142,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.014581,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.023400,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.025599,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.017729,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.022509,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.022215,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.021947,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.013427,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.017242,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.027913,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.018433,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.025173,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.024340,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.018318,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.018847,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.016931,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.018322,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.017178,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.018066,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.025260,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.027756,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.017085,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.018544,True
-workload=tpcxai1 -query_template=template10 -verbose=4,0.017675,True
